bookId,title,series,author,rating,description,language,genres,pages,publisher,publishDate,coverImg,price,language_2,language_3,language_4,language_5
book_38,Dracula,Dracula #1,"Bram Stoker, Nina Auerbach (Editor), David J. Skal (Editor)",4,"You can find an alternative cover edition for this ISBN here and here.A rich selection of background and source materials is provided in three areas: Contexts includes probable inspirations for Dracula in the earlier works of James Malcolm Rymer and Emily Gerard. Also included are a discussion of Stoker's working notes for the novel and ""Dracula's Guest,"" the original opening chapter to Dracula. Reviews and Reactions reprints five early reviews of the novel. ""Dramatic and Film Variations"" focuses on theater and film adaptations of Dracula, two indications of the novel's unwavering appeal. David J. Skal, Gregory A. Waller, and Nina Auerbach offer their varied perspectives.",english,"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Vampires', 'Gothic', 'Paranormal', 'Literature', 'Audiobook', 'Supernatural']",488,Norton,05/12/86,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694l/17245.jpg,4.55,,,,
book_43,The Lightning Thief,Percy Jackson and the Olympians #1,Rick Riordan (Goodreads Author),4.26,"Alternate cover for this ISBN can be found herePercy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea.",english,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Urban Fantasy', 'Greek Mythology', 'Magic']",375,Disney Hyperion Books,03/01/06,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609l/28187.jpg,1.79,,,,
book_46,A Wrinkle in Time,Time Quintet #1,Madeleine L'Engle,4,"It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.",english,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade', 'Time Travel', 'Adventure', 'Science Fiction Fantasy']",218,Square Fish,11/07/17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312l/33574273._SX318_.jpg,4.8,,,,
book_47,A Game of Thrones,A Song of Ice and Fire #1,George R.R. Martin,4.45,"Here is the first volume in George R. R. Martin’s magnificent cycle of novels that includes A Clash of Kings and A Storm of Swords. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R. R. Martin’s stunning series is destined to stand as one of the great achievements of imaginative fiction.A GAME OF THRONESLong ago, in a time forgotten, a preternatural event threw the seasons out of balance.",english,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Adult', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Dragons', 'Audiobook', 'Epic']",835,Bantam,08/28/05,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234l/13496.jpg,4.01,,,,
book_48,The Adventures of Huckleberry Finn,Adventures of Tom and Huck #2,"Mark Twain, Guy Cardwell (Notes), John Seelye (Introduction), Walter Trier (Ilustrator)",3.82,"A nineteenth-century boy from a Mississippi River town recounts his adventures as he travels down the river with a runaway slave, encountering a family involved in a feud, two scoundrels pretending to be royalty, and Tom Sawyer's aunt who mistakes him for Tom.",english,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'School', 'Novels', 'Read For School', 'American']",327,Penguin Classics,12/31/02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879l/2956.jpg,6.99,,,,
book_61,The Handmaid's Tale,The Handmaid's Tale #1,Margaret Atwood (Goodreads Author),4.11,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now . . .",english,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook', 'Literature', 'Novels']",314,Anchor Books,04/28/98,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274l/38447._SY475_.jpg,10,,,,
book_62,The Giver,The Giver #1,Lois Lowry (Goodreads Author),4.13,Twelve-year-old Jonas lives in a seemingly ideal world. Not until he is given his life assignment as the Receiver does he begin to understand the dark secrets behind this fragile community.,english,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School', 'Childrens', 'Middle Grade', 'Read For School']",208,Ember,01/24/06,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368l/3636.jpg,7.15,,,,
book_63,Catch-22,Catch-22 #1,Joseph Heller,3.98,"The novel is set during World War II, from 1942 to 1944. It mainly follows the life of Captain John Yossarian, a U.S. Army Air Forces B-25 bombardier. Most of the events in the book occur while the fictional 256th Squadron is based on the island of Pianosa, in the Mediterranean Sea, west of Italy. The novel looks into the experiences of Yossarian and the other airmen in the camp, who attempt to maintain their sanity while fulfilling their service requirements so that they may return home.",english,"['Classics', 'Fiction', 'War', 'Historical Fiction', 'Humor', 'Literature', 'Novels', 'Unfinished', 'American', 'Historical']",453,Simon & Schuster,09/04/04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317l/168668.jpg,3.32,,,,
book_64,Dune,Dune #1,Frank Herbert,4.23,"Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream.",english,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Space Opera', 'Audiobook', 'Novels', 'Adventure', 'Adult']",661,Ace Books,10/01/19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414l/44767458.jpg,29.34,,,,
book_65,The Pillars of the Earth,Kingsbridge #1,Ken Follett (Goodreads Author),4.31,"Ken Follett is known worldwide as the master of split-second suspense, but his most beloved and bestselling book tells the magnificent tale of a twelfth-century monk driven to do the seemingly impossible: build the greatest Gothic cathedral the world has ever known.Everything readers expect from Follett is here: intrigue, fast-paced action, and passionate romance. But what makes The Pillars of the Earth extraordinary is the time the twelfth century; the place feudal England; and the subject the building of a glorious cathedral. Follett has re-created the crude, flamboyant England of the Middle Ages in every detail.",english,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Medieval', 'Audiobook', 'British Literature', 'Novels', 'Adult']",976,NAL Trade,02/04/02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100l/5043.jpg,10,,,,
